I	J	K	  Dose  	 Tot.LETd 	 e- dose 	 e- LETd 	 p dose 	 p LETd 	 He dose 	 He LETd 	 Li dose 	 Li LETd 	 Be dose 	 Be LETd 	 B dose 	 B LETd 	 C dose 	 C LETd 	 N dose 	 N LETd 	 O dose 	 O LETd 	
0	0	0	5.578897e-04	1.352336e+01	2.883365e-02	4.382077e-01	1.501727e-02	7.560001e+00	1.450628e-02	1.541371e+02	2.495705e-03	2.443918e+02	1.328577e-03	2.663782e+02	2.331610e-03	9.136848e+01	9.351249e-01	1.043809e+01	8.471173e-05	1.810759e+03	5.416571e-05	1.288995e+03	
0	0	1	5.691374e-04	1.324601e+01	4.773040e-02	4.507395e-01	1.727492e-02	7.260430e+00	1.429383e-02	1.463863e+02	2.624115e-03	2.404430e+02	1.417288e-03	2.289080e+02	2.641507e-03	9.221767e+01	9.136092e-01	1.050213e+01	9.855046e-05	1.506430e+03	5.539038e-05	1.140807e+03	
0	0	2	5.713819e-04	1.314452e+01	5.171491e-02	4.525359e-01	1.858853e-02	7.221378e+00	1.496395e-02	1.392814e+02	2.648054e-03	2.100082e+02	1.546794e-03	1.981962e+02	2.979531e-03	7.419844e+01	9.071152e-01	1.054339e+01	1.109341e-04	1.512583e+03	6.456391e-05	1.298476e+03	
0	0	3	5.717202e-04	1.329212e+01	5.254907e-02	4.531119e-01	2.000602e-02	6.972350e+00	1.534491e-02	1.376407e+02	2.857922e-03	2.205271e+02	1.674370e-03	1.922021e+02	3.323530e-03	6.543029e+01	9.037374e-01	1.052752e+01	1.378964e-04	1.735351e+03	6.735834e-05	1.373930e+03	
0	0	4	5.712819e-04	1.318210e+01	5.250142e-02	4.536723e-01	2.098821e-02	6.370890e+00	1.597741e-02	1.349699e+02	2.934873e-03	1.925708e+02	1.806571e-03	1.705510e+02	3.662375e-03	5.765873e+01	9.016055e-01	1.053653e+01	1.345762e-04	1.227010e+03	6.835096e-05	1.577214e+03	
0	0	5	5.704918e-04	1.315737e+01	5.247073e-02	4.544038e-01	2.188742e-02	6.347659e+00	1.600141e-02	1.247583e+02	3.099205e-03	2.038503e+02	1.980484e-03	1.919303e+02	4.033874e-03	5.486078e+01	8.999797e-01	1.053427e+01	1.497500e-04	1.336333e+03	6.857824e-05	1.200810e+03	
0	0	6	5.702006e-04	1.317605e+01	5.235145e-02	4.544030e-01	2.314305e-02	6.279898e+00	1.661183e-02	1.232889e+02	3.115368e-03	1.824486e+02	2.075637e-03	1.484693e+02	4.391043e-03	4.771769e+01	8.977116e-01	1.060299e+01	1.802999e-04	1.449908e+03	7.262279e-05	1.191173e+03	
0	0	7	5.695260e-04	1.316537e+01	5.222287e-02	4.541687e-01	2.396535e-02	6.039290e+00	1.711551e-02	1.180042e+02	3.200637e-03	1.730595e+02	2.203762e-03	1.538086e+02	4.776885e-03	5.206927e+01	8.959028e-01	1.060604e+01	1.749565e-04	1.080178e+03	8.585509e-05	1.676108e+03	
0	0	8	5.690808e-04	1.320628e+01	5.213730e-02	4.543033e-01	2.485465e-02	5.882833e+00	1.771076e-02	1.185914e+02	3.356402e-03	1.646311e+02	2.371089e-03	1.711548e+02	5.112761e-03	3.969155e+01	8.938190e-01	1.059286e+01	1.949270e-04	1.156927e+03	7.340466e-05	1.089435e+03	
0	0	9	5.685004e-04	1.322669e+01	5.198425e-02	4.550117e-01	2.572673e-02	5.601651e+00	1.828058e-02	1.157225e+02	3.512294e-03	1.641985e+02	2.477688e-03	1.493254e+02	5.474872e-03	3.729621e+01	8.918606e-01	1.061395e+01	2.210239e-04	1.056141e+03	7.611458e-05	1.213668e+03	
0	0	10	5.680105e-04	1.323164e+01	5.186823e-02	4.551269e-01	2.665534e-02	5.727146e+00	1.888377e-02	1.144554e+02	3.644327e-03	1.680487e+02	2.582740e-03	1.148261e+02	5.802126e-03	4.284710e+01	8.898700e-01	1.063874e+01	2.120905e-04	8.287904e+02	8.144869e-05	1.135817e+03	
0	0	11	5.672798e-04	1.308686e+01	5.176157e-02	4.548714e-01	2.753038e-02	5.602888e+00	1.914982e-02	1.090369e+02	3.744108e-03	1.584322e+02	2.733578e-03	1.162257e+02	6.163494e-03	3.492944e+01	8.882086e-01	1.061842e+01	2.121343e-04	6.797834e+02	8.123852e-05	1.230517e+03	
0	0	12	5.666498e-04	1.328965e+01	5.167966e-02	4.561368e-01	2.823012e-02	5.438646e+00	1.960592e-02	1.053876e+02	3.905393e-03	1.522767e+02	2.871052e-03	1.396490e+02	6.519357e-03	3.577309e+01	8.864331e-01	1.071775e+01	2.495532e-04	9.192662e+02	8.109526e-05	1.064563e+03	
0	0	13	5.662450e-04	1.331236e+01	5.161203e-02	4.568437e-01	2.901838e-02	5.218691e+00	2.032437e-02	1.050918e+02	4.000229e-03	1.468218e+02	2.965617e-03	1.099675e+02	6.852024e-03	3.862016e+01	8.844286e-01	1.066769e+01	2.604847e-04	9.464064e+02	1.004261e-04	1.409609e+03	
0	0	14	5.655148e-04	1.332527e+01	5.147628e-02	4.562422e-01	2.969595e-02	5.212937e+00	2.077509e-02	1.022641e+02	4.145141e-03	1.427775e+02	3.088907e-03	1.081737e+02	7.207247e-03	3.625544e+01	8.828273e-01	1.073593e+01	2.679415e-04	9.626188e+02	7.855152e-05	1.253622e+03	
0	0	15	5.648375e-04	1.341113e+01	5.132392e-02	4.555021e-01	3.032119e-02	5.173395e+00	2.133115e-02	1.023660e+02	4.240767e-03	1.398511e+02	3.244705e-03	1.201256e+02	7.553757e-03	3.704772e+01	8.811945e-01	1.076250e+01	2.639513e-04	7.694936e+02	8.688151e-05	1.118179e+03	
0	0	16	5.640602e-04	1.330960e+01	5.123258e-02	4.568368e-01	3.087013e-02	5.043601e+00	2.181566e-02	9.607645e+01	4.368088e-03	1.305286e+02	3.339607e-03	1.023626e+02	7.919628e-03	3.889044e+01	8.796173e-01	1.072039e+01	2.951504e-04	9.294556e+02	8.971478e-05	1.220432e+03	
0	0	17	5.635005e-04	1.361210e+01	5.106866e-02	4.578142e-01	3.172868e-02	5.050219e+00	2.231936e-02	9.682667e+01	4.506481e-03	1.367783e+02	3.474718e-03	1.066463e+02	8.245765e-03	3.163981e+01	8.777976e-01	1.093031e+01	2.939631e-04	8.093497e+02	1.064187e-04	1.752078e+03	
0	0	18	5.625649e-04	1.344602e+01	5.097128e-02	4.573053e-01	3.212502e-02	4.846350e+00	2.259928e-02	9.308729e+01	4.700244e-03	1.357069e+02	3.620630e-03	1.034308e+02	8.600709e-03	3.431025e+01	8.765157e-01	1.083141e+01	3.154917e-04	8.287618e+02	9.076794e-05	1.071362e+03	
0	0	19	5.620249e-04	1.343744e+01	5.092682e-02	4.559894e-01	3.298824e-02	4.988084e+00	2.316833e-02	9.299311e+01	4.770081e-03	1.316324e+02	3.737009e-03	9.729657e+01	8.900720e-03	2.784723e+01	8.746183e-01	1.085075e+01	3.229338e-04	8.019628e+02	9.210809e-05	1.147766e+03	
0	0	20	5.612719e-04	1.353339e+01	5.072560e-02	4.577729e-01	3.359168e-02	4.885443e+00	2.369283e-02	9.128386e+01	4.888030e-03	1.277795e+02	3.873701e-03	9.676570e+01	9.220311e-03	2.836178e+01	8.730866e-01	1.087931e+01	3.324701e-04	9.159346e+02	1.011635e-04	1.174631e+03	
0	0	21	5.605489e-04	1.335527e+01	5.066175e-02	4.567321e-01	3.411788e-02	4.791566e+00	2.407356e-02	8.725083e+01	5.058263e-03	1.289818e+02	3.980509e-03	8.711946e+01	9.573268e-03	3.298195e+01	8.716104e-01	1.080151e+01	3.326893e-04	6.549281e+02	9.801334e-05	1.224576e+03	
0	0	22	5.602215e-04	1.367338e+01	5.060203e-02	4.583576e-01	3.492000e-02	4.720060e+00	2.476853e-02	8.875809e+01	5.202761e-03	1.306611e+02	4.100045e-03	8.792002e+01	9.890053e-03	3.211728e+01	8.695569e-01	1.091804e+01	3.568990e-04	8.499478e+02	9.963145e-05	1.302240e+03	
